Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","4894","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","3540","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","182","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5911","Exportations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","2","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","8249","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5521","Aliments pour animaux","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","403","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5527","Semences","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","387","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5123","Pertes","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","706","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5131","Traitement","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5154","Autres utilisations (non alimentaire)","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","7","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5170","Résidus","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","0","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","6746","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2905","Cèrèales - Excl Bière","2017","2017","kg","185.87","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","Kcal/personne/jour","1609","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","g/personne/jour","41.93","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","g/personne/jour","5.7","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5511","Production","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","18965","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5611","Importations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","4351","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5072","Variation de stock","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","3147","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5911","Exportations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","3095","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilité intérieure","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","17075","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5521","Aliments pour animaux","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","5325","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5527","Semences","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","62","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
